link,area,year_built,rooms,floor,region,total_price,price_per_m2,has_elevator,has_parking,has_storage,is_new,is_renovated,has_balcony,good_light,luxury_keywords,has_doc
https://divar.ir/v/%D8%A8%D8%A7%DA%A9%D8%B3-%D9%BE%D9%88%D9%86%DA%A9-%DB%B8%DB%B8%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/QafSgQ4_,88,1391,2,2,,18000000000,204545000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B9%DB%B2-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%DA%A9%D9%85-%D8%B3%D9%86-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%B4%D8%A7%D9%87%DB%8C%D9%86-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/QaVyHmet,92,1402,2,9215,پونک,18500000000,201086000,1,1,1,0,0,0,1,0,1
https://divar.ir/v/%DB%B1%DB%B1%DB%B5%D9%85%D8%AA%D8%B1-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D8%B3%D9%87-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B9%D8%AF%D9%84-%D8%B4%D9%85%D8%A7%D9%84%DB%8C/QahaoZbo,115,1393,3,8123420100450812,پونک,25000000000,217391000,1,1,1,0,1,0,1,1,1
https://divar.ir/v/%DB%B5%DB%B5%D9%85%D8%AA%D8%B1-%DB%B1%D8%AE%D9%88%D8%A7%D8%A8-%D9%BE%D9%88%D9%86%DA%A9/QaeyY3pX,55,1386,1,55614171200,,7700000000,140000000,0,0,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B7%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D9%81%D9%88%D9%84-%D9%BE%D9%88%D9%86%DA%A9-%D8%A7%D8%B1%D8%B2%D9%86%D8%AF%D9%87/Qagq1wId,70,1390,2,1,,13950000000,199285000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B8%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8/Qa5tsySi,80,1398,2,15,,20150000000,251875000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DA%A9%D9%85%D8%A7%D9%84%DB%8C-%D8%B4%D8%B1%D9%82%DB%8C-%DB%B8%DB%B0%D9%85%D8%AA%D8%B1-%D8%AF%D9%88-%D8%AE%D9%88%D8%A7%D8%A8-%D8%B3%D8%A7%D9%84%D9%86-%D9%BE%D8%B1%D8%AF%D9%87-%D8%AE%D9%88%D8%B1/Qae-PiTw,80,1394,2,2,,20000000000,250000000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%D8%AD%DB%8C%D8%A7%D8%B7-%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%DB%8C-%D9%85%D8%AE%D8%AA%D8%B5-%D8%AE%D8%A7%D8%B5-%D9%BE%D8%B3%D9%86%D8%AF%D8%A7%D9%86/QahKVRZy,65,1402,2,3,,3650000000,56153000,1,1,1,0,0,0,0,0,0
https://divar.ir/v/%DB%B9%DB%B2-%D9%85%D8%AA%D8%B1-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8-%DA%A9%D9%85-%D9%88%D8%A7%D8%AD%D8%AF/QaSK8RG2,92,1380,2,233,,14000000000,152173000,0,1,0,0,0,0,0,0,0
https://divar.ir/v/%DB%B2%DB%B5%DB%B0%D9%85%D8%AA%D8%B1-%DA%86%D9%87%D8%A7%D8%B1-%D8%AE%D9%88%D8%A7%D8%A8-%DA%A9%D9%85%D8%A7%D9%84%DB%8C/Qaga3dBW,250,1404,4,250,,90000000000,360000000,1,1,1,0,0,0,0,0,0
